Title,Perusahaan,Kategori,Lokasi,Skills
Senior Sales Executive (ISP),PT Jangkau Lintas Nusantara,Senior Sales,Tangerang,"Negosiasi, Penjualan dan pemasaran, Komunikasi"
IT Support,PT. Inti Nya Teknologi,IT Support,Jakarta Utara,"Teamwork, Komunikasi, Instalasi cct"
Full Stack Developer,PT. Graha Vinoti Kreasindo,Full Stack Developer,Jakarta Timur,"Data Base MySQL, postgreSQL, IT Progamming"
Junior Sales (Retail Internet),PT Jangkau Lintas Nusantara,Sales Area,Tangerang,"Negosiasi, Selling a product, Komunikasi"
IT Web Development,Yayasan Global Insan Mulia,Web Developer,Cikarang,"Codeigniter PHP Framework, Java, MySQL, IT Bussines Development Â Analyst, Python, PostgreSQL, Programmer"
Staf IT Support,PT. Nurra Eye Center Kerinci,IT Support,Kerinci,"Jaringan Komputer Installasi Komputer, Service, Jaringan LAN, WAN"
Teknisi IKR (Instalasi Kedalam Rumah),PT. Rizki Prima Sakti,Teknisi Jaringan,Palangka Raya,"Memiliki kemampuan dan pemahaman pada jaringan fiber optic. - Mampu mengoperasikan alat ukur fiber optic Splicer, OPM, OTDR, OLS"
Team Leader Instalasi (Survey BTS),PT. GARUDA ESCAMAS,Teknisi Instalasi,Jakarta Timur,- Team leader and coordinating
IT-NOC (Network Operating Center),PT Pasifik Wija Teknologi,Network Engineer,Tanjung Selor,"Computer and Network Engineering., NETWORK AND ENGINERING, Keahlian yang dibutuhkan meliputi pemeliharaan infrastruktur TI, keamanan informasi, pengelolaan jaringan komputer, pengembangan aplikasi, pelatihan pengguna, pemantauan kinerja sistem, dan kepatuhan regulasi TI."
Sales,PT. APPSKU APLIKASI INDONESIA,Sales Executive,Kota Yogyakarta,Penjualan atau marketing
Staf Pengembangan Bisnis/Pemasaran,PT. Sartono Media,Penjualan & Konsultan IT,Jakarta Pusat,Pemasaran
IT Support Admin,PT Raga Karya Diwangsa,IT Support,Tangerang Selatan,"MySQL, IT Hardware dan Software, Desain Grafis dengan software Adobe Photoshop, Illustrator, Corel Draw, IT konfigurasi dan Instalasi Hardware dan software komputer konfigurasi dan Instalasi jaringan dan CCTV konfigurasi dan Instalasi database konfigurasi dan Instalasi Security IT, IT jaringan, Website Administrator, Phyton"
DevOps & Security Engineer,PT SHANKARA CABOT BAJRA DANAPATI,DevOps Engineer,Bandung Kabupaten,"Software, Server Docker, NodeJS, Apache, MariaDB, Ubuntu Server, Windows Server 2016, Cloud Computing AWS, AWS, Cloudflare, Git, Some AWS cloud services, Cloud Computing AWS, google cloud, microsoft azure"
IT Support Help Desk,PT SHANKARA CABOT BAJRA DANAPATI,IT Support,Bandung Kabupaten,"Software, Mengerti Server"
Mobile Developer (Android & iOS),PT SHANKARA CABOT BAJRA DANAPATI,Mobile App Developer,Bandung Kabupaten,"Software, Android Java, Kotlin, Flutter"
Teknisi Instalasi Jaringan IKR (Fiber Optic),PT. Telekom Adhikari Pratama,Teknisi Jaringan,Remote,"teknik listrik dan jaringan, Teknik elektonik"
IT Support Helpdesk iPos - Event,PT Avatar Solusi Digital,IT Support,Denpasar,"Manajemen waktu, Komunikasi"
UI/UX Designer,PT Avatar Solusi Digital,UI/UX Designer,Jakarta Timur,UI UX
