Title,Perusahaan,Kategori,Lokasi,Skills
Crew Dcrepes Bali,PT. Jaddi Globalindo,Operasional,KOTA DENPASAR,"cook, Communication Skills, Customer Service"
Sales MyRepublik (Bekasi),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,KOTA BEKASI,"Marketing, Sales Presentation, Sales"
Sales MyRepublik (Bogor),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,KOTA BOGOR,"Marketing, Sales Presentation, Sales"
LOWONGAN MARKETING,PT Tiga Mera Berjaya,Pemasaran (Teknis),KOTA DEPOK,"Microsoft Excel, Microsoft Office, Communications"
Marketing Staff,Kurnia Perkasa Propertindo,Penjualan dan Pemasaran,KAB. CIANJUR,"Content Marketing, Sales & Marketing, Community Management, Digital Marketing"
Marketing Executive,PT. Datascrip,Pemasaran (Teknis),KOTA ADM. JAKARTA PUSAT,"Advertising, Microsoft Excel, Content Marketing, Microsoft Office, Product Research, Digital Marketing"
Business Executive (IT Product),PT. Datascrip,Penjualan dan Pemasaran,KOTA ADM. JAKARTA PUSAT,"Microsoft Excel, Microsoft Office, Sales & Marketing"
Instrument Technician (CAA),Chandra Asri Petrochemical,"Teknik, Lainnya",KOTA CILEGON,"instrument technician, environment, health, and safety"
PRODUCTION ENGINERING,Shimano Batam,"Teknik, Mesin",KOTA BATAM,"Microsoft Excel, Microsoft Office, engineering"
OPERATOR PRODUKSI,Shimano Batam,Operator,KOTA BATAM,"Microsoft Excel, Microsoft Office, Operations"
Account Executive (Sales B2B),PT. Comtronics Systems (ICT Total Solution),Penjualan (Teknis),KOTA ADM. JAKARTA TIMUR,Account Management
Accounting Staff,PT. Comtronics Systems (ICT Total Solution),Akuntan Perpajakan,KOTA ADM. JAKARTA TIMUR,"Accounting, Finance"
FINISH GOOD WAREHOUSE BIKE (FGWB),Shimano Batam,Manufaktur dan Produksi,KOTA BATAM,"menggunakan komputer, Microsoft Excel, Microsoft Office, inbound, Inventory Management, outbound"
"Customer Relation - Baros, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Arjasari, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Lebakwangi, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Mangunjaya, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Batukarut, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Cisarenten Bina Harapan, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Ancolmekar, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Antapani Kulon, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Sukamiskin, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Antapani Tengah, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Antapani Wetan, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,KAB. BANDUNG,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
