Title,Perusahaan,Kategori,Lokasi,Skills,Lat,Lon,Klasifikasi
SPV Accounting,Vepo Indah Pratama,Akuntansi & Keuangan,Gresik,"Tax, Account Management, Microsoft Office, Databases, Risk Analysis",-7.1566,112.6555,NON-IPTEK
Crew Dcrepes Bali,PT. Jaddi Globalindo,Operasional,Denpasar,"cook, Communication Skills, Customer Service",-8.6524973,115.2191175,NON-IPTEK
Sales MyRepublik (Bekasi),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,Bekasi,"Marketing, Sales Presentation, Sales",-6.2349858,106.9945444,NON-IPTEK
Sales MyRepublik (Bogor),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,Bogor,"Marketing, Sales Presentation, Sales",-6.5963564,106.7973188,NON-IPTEK
LOWONGAN MARKETING,PT Tiga Mera Berjaya,Pemasaran (Teknis),Depok,"Microsoft Excel, Microsoft Office, Communications",-6.40719,106.8158371,IPTEK
Marketing Staff,Kurnia Perkasa Propertindo,Penjualan dan Pemasaran,Cianjur,"Content Marketing, Sales & Marketing, Community Management, Digital Marketing",-6.5699169,106.7395525,NON-IPTEK
Marketing Executive,PT. Datascrip,Pemasaran (Teknis),Jakarta,"Advertising, Microsoft Excel, Content Marketing, Microsoft Office, Product Research, Digital Marketing",-6.1754049,106.827168,IPTEK
Business Executive (IT Product),PT. Datascrip,Penjualan dan Pemasaran,Jakarta,"Microsoft Excel, Microsoft Office, Sales & Marketing",-6.1754049,106.827168,NON-IPTEK
Instrument Technician (CAA),Chandra Asri Petrochemical,"Teknik, Lainnya",Cilegon,"instrument technician, environment, health, and safety",-6.017389,106.0537688,IPTEK
PRODUCTION ENGINERING,Shimano Batam,"Teknik, Mesin",Batam,"Microsoft Excel, Microsoft Office, engineering",1.1030815,104.0383696,IPTEK
OPERATOR PRODUKSI,Shimano Batam,Operator,Batam,"Microsoft Excel, Microsoft Office, Operations",1.1030815,104.0383696,NON-IPTEK
Account Executive (Sales B2B),PT. Comtronics Systems (ICT Total Solution),Penjualan (Teknis),Jakarta,Account Management,-6.1754049,106.827168,IPTEK
Accounting Staff,PT. Comtronics Systems (ICT Total Solution),Akuntan Perpajakan,Jakarta,"Accounting, Finance",-6.1754049,106.827168,NON-IPTEK
FINISH GOOD WAREHOUSE BIKE (FGWB),Shimano Batam,Manufaktur dan Produksi,Batam,"menggunakan komputer, Microsoft Excel, Microsoft Office, inbound, Inventory Management, outbound",1.1030815,104.0383696,NON-IPTEK
"Customer Relation - Baros, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Arjasari, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Lebakwangi, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Mangunjaya, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Batukarut, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Cisarenten Bina Harapan, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Ancolmekar, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Antapani Kulon, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Sukamiskin, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
"Customer Relation - Antapani Tengah, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
