Title,Perusahaan,Kategori,Lokasi,Skills
Marketing Staff,PT. Bing Kreatif Mandiri,Pemasaran (Non-Teknis),Jakarta,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Sales Admin,Sagara Prima Perkasa,Administrasi & Customer Relationship,KOTA TANGERANG SELATAN,"Microsoft Excel, growth mindset, Microsoft Office, Microsoft Word, Teamwork, Microsoft PowerPoint, Sales & Marketing, Digital Marketing"
Staff of Quality Management System (QMS) ISO,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Office, Databases"
Pramuniaga Gadai,Solusi Gadai Pintar,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, gadai, Sales"
Pramuniaga Gadai,Solusi Gadai Pintar,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, gadai, Sales"
Plant Inspector,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Windows, Microsoft Office, Risk Analysis"
Coordinator,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Office, Data Management, Risk Analysis"
Staff Audio Visual,Citra Bahasa Global,Logistik,KAB. BADUNG,"audio visual, Event Planning, broadcasting, Hybrid, Event Management"
Finance & Accounting Staff,Kekho Asanka Gemilang,Bagian Umum,Jakarta,"Akuntansi, Microsoft Excel, Microsoft Office, Financial Management"
Marketing & Sales,Kekho Asanka Gemilang,Konsultan,Jakarta,"b2b, Negotiation, Microsoft Office, Communication Skills, Sales & Marketing, ISO, Design Thinking, Digital Marketing"
Administrasi,Citra Warna Abadi,Administrasi & Customer Relationship,KOTA SAMARINDA,"Microsoft Excel, Microsoft Office"
Account Assistant,Citra Bahasa Global,Layanan Pelanggan,KAB. BADUNG,"Event Planning, Microsoft Excel, System Administration, Microsoft Office, English Language, Event Management, Quotation"
Staff Lapangan EO (Blackman),Citra Bahasa Global,Logistik,KAB. BADUNG,"cleaning, office boy, Visual, Audio, Event Management, Logistics"
Tenaga Teknis Kefarmasian/Asisten Tenaga Teknis Kefarmasian (Ambarketawang - Yogyakarta),PT K-24 Indonesia,Asisten Teknis Kesehatan,KAB. SLEMAN,farmasi
Tenaga Teknis Kefarmasian/Asisten Tenaga Teknis Kefarmasian (Sariharjo - Yogyakarta),PT K-24 Indonesia,Asisten Teknis Kesehatan,KAB. SLEMAN,farmasi
Tenaga Ahli Elektrikal,Solusi Ijin Semarang,Maintenance,KAB. SEMARANG,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Koordinator Olahraga dan Kesehatan (PHBS),Yayasan Ashabul Fitrah Indonesia,Guru / Tutor,KAB. BOGOR,"Artificial Intelligence (AI), Training, Google Apps"
HUMAN RESOURCES DEVELOPMENT,Shimano Batam,Manufaktur dan Produksi,KOTA BATAM,"Microsoft Excel, Microsoft Office, Operations, Interview"
Sales Officer CIMB Niaga Auto Finance,Tumbuh Akselera Indonesia,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, Sales"
SPV Accounting,Vepo Indah Pratama,Akuntansi & Keuangan,KAB. GRESIK,"Tax, Account Management, Microsoft Office, Databases, Risk Analysis"
Crew Dcrepes Bali,PT. Jaddi Globalindo,Operasional,KOTA DENPASAR,"cook, Communication Skills, Customer Service"
Sales MyRepublik (Bekasi),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,KOTA BEKASI,"Marketing, Sales Presentation, Sales"
Sales MyRepublik (Bogor),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,KOTA BOGOR,"Marketing, Sales Presentation, Sales"
LOWONGAN MARKETING,PT Tiga Mera Berjaya,Pemasaran (Teknis),KOTA DEPOK,"Microsoft Excel, Microsoft Office, Communications"
Marketing Staff,Kurnia Perkasa Propertindo,Penjualan dan Pemasaran,KAB. CIANJUR,"Content Marketing, Sales & Marketing, Community Management, Digital Marketing"
Marketing Executive,PT. Datascrip,Pemasaran (Teknis),Jakarta,"Advertising, Microsoft Excel, Content Marketing, Microsoft Office, Product Research, Digital Marketing"
Business Executive (IT Product),PT. Datascrip,Penjualan dan Pemasaran,Jakarta,"Microsoft Excel, Microsoft Office, Sales & Marketing"
Instrument Technician (CAA),Chandra Asri Petrochemical,"Teknik, Lainnya",KOTA CILEGON,"instrument technician, environment, health, and safety"
PRODUCTION ENGINERING,Shimano Batam,"Teknik, Mesin",KOTA BATAM,"Microsoft Excel, Microsoft Office, engineering"
OPERATOR PRODUKSI,Shimano Batam,Operator,KOTA BATAM,"Microsoft Excel, Microsoft Office, Operations"
Account Executive (Sales B2B),PT. Comtronics Systems (ICT Total Solution),Penjualan (Teknis),Jakarta,Account Management
Accounting Staff,PT. Comtronics Systems (ICT Total Solution),Akuntan Perpajakan,Jakarta,"Accounting, Finance"
FINISH GOOD WAREHOUSE BIKE (FGWB),Shimano Batam,Manufaktur dan Produksi,KOTA BATAM,"menggunakan komputer, Microsoft Excel, Microsoft Office, inbound, Inventory Management, outbound"
"Customer Relation - Baros, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Arjasari, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Lebakwangi, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Mangunjaya, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Batukarut, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Cisarenten Bina Harapan, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Ancolmekar, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Antapani Kulon, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Sukamiskin, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Antapani Tengah, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Antapani Wetan, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Antapani Kidul, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Sindang Jaya, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Maleber, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Ciroyom, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Cisaranten Kulon, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Garuda, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Dungus Cariang, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
"Customer Relation - Kebon Jeruk, Bandung",PT. Trijaya Pratama Futures (Jakarta),Pemasaran Internet,Bandung,"Public Relations, SAFETY MANAGEMENT, Content Marketing, Research, Public Speaking, Data Analysis, Business Analysis, Online Marketing, Community Management, Digital Marketing"
