Title,Perusahaan,Kategori,Lokasi,Skills
Digital Marketing,PT. AGUNG PERKASA ABADI,Digital Marketing,Kabupaten Tangerang,"Content Creation Social Media Strategy Memiliki pengalaman sebagai content creator dan fashion affiliate di platform media sosial, khususnya di TikTok. Terampil dalam merancang konsep konten yang menarik, memahami trend digital, serta mampu meningk"
Specialist Advertising,PT Shunda Sucai Indonesia,Advertising,Jakarta Barat,"Strategi Marketing, Detail, Copywriting, Pemasaran Digital, Terorganisir, Digital Ads Management"
Marketing Communication (Marcomm),PT. FOCUS CENTRAL SECURINDO,Marketing Communication,Batam,"Digital Business, Komunikasi"
Digital Marketing,PT. Dea Trans Solusindo,Digital Marketing,Tangerang,"marketing, Customer Service, Content Creator"
Staff Marketing,PT First Growth Indonesia,Staff Marketing,Palembang,"Pemasaran media sosial, Berbicara dan berbahasa dengan baik, Komunikasi dan follow up dengan baik., mic. office, Pemasaran secara online"
Marketing Executive,PT. Zhafirah Mitra Madina,Marketing Executive,Pekalongan,"marketing, Communication Skill, Sales Marketing, Sales Marketing Strategy, Sales, Digital Marketing Skills, Bancassurance Skills"
Marketing,GIHON FILTER AIR,Staff Marketing,Tangerang,Pemasaran dan Penjualan
Marketing & Community Lead,Heliix Padel,Marketing Coordinator,Jakarta Utara,"marketing, Komunikasi dan interaksi, promosi dan penjualan"
Facebook Ads Specialist,Klinik Utama Apollo,Digital Ads Specialist,Jakarta Pusat,Iklan Facebook Facebook Ads Editor vidio
Google Adwords Spesialis,Klinik Utama Apollo,Digital Ads Specialist,Jakarta Pusat,"Facebook Ads., Google Ads, Facebook, Google Ads, Social Media Ads TikTok, Instagram, Facebook, Google"
Manager Online Marketing,Laolexs Indonesia,Manager Marketing,Jakarta Utara,"Microsoft Office, Analisa Market, Komunikasi dan interaksi, Digital Marketing Admin Ecommerce, Penjualan dan pemasaran, Pemecahan Masalah"
Marketing Staff,PT. ILJIN Indonesia,Staff Marketing,Bekasi,"marketing, Office Administration, Sales Marketing, Sales Marketing Strategy"
Digital Marketing Specialist,CV Laris Ekspress,Digital Marketing,Medan,"Mau belajar dalam hal - hal baru, Inovati dan Kreatif, berpengalaman di bidang yang sama"
Media Konten Strategis Pribadi,PT. Tritama Lestari,Social Media Specialist,Tangerang Selatan,"Adobe After effect, Adobe AI, Editor, Adobe Premier, Fotografer, protocoler"
Marketing Staff,PT Sinergi Geoenvi Laboratorium,Staff Marketing,Bandung Kabupaten,"marketing, Menguasai sistem tender"
Editor Content Creator,Lafa Trade Indonesia,Content Creator,Jakarta Pusat,"Editing, Komputer, Capcut, Editing Video"
Marketing,PT Masha Kreasindo Pratama (Jajan Story),Staff Marketing,Jakarta Selatan,"Menguasai Desain Feed IG dan thumbnail IGTV, Membuat konten di Media Sosial dengan Copywriting seperti Instagram., Menguasai Canva, Abode, Ilustrator, Filmora, dll"
Social Media Admin,Arjuna Sarana Kreasi,Admin Social Media,Jakarta Selatan,"Pernah handle akun personal / public figure 		Bisa basic English caption 	•	Paham IG Reels & algorithm 	•	Bisa edit video simple, Pernah handle akun personal / public figure, Bisa edit video simple, Paham IG Reels & algorithm, Bisa basic English caption"
Marketing Product Spesialis,Melora Musik Nusantara,Marketing Executive,Jakarta Utara,Bermain alat musik
Admin Social Media dan E- Commerce,PT. Puremei Delicat Indonesia,Admin Social Media,Kabupaten Tangerang,"Kreatif dan inovatif, Social Media and Internet, Berpenampilan menarik, E-commerce Admin, Berbicara Baik dan Formal, Loyal dalam bekerja."
Manager Marketing,Al-Azhar Syifa Budi Cibubur,Manager Marketing,Bogor,"Market Research, Customer Knowledge"
