Title,Perusahaan,Kategori,Lokasi,Skills
Sales Marketing Executive,PENERBIT MEDIATAMA CABANG PALEMBANG,Sales Marketing,Palembang,"Negoisasi, Penjualan dan pemasaran"
Internship Conten Creator,IGB Media,Content Creator,Surabaya,"Content writing, Content Creator"
Social Media Specialist,PT. Loker Asli Indonesia,Social Media Specialist,Medan,"Social Media, Canva, Capcut, Copywriting, Social Media Analitic"
Content Creator,PT Wonderindo Pharmatama,Content Creator,Jakarta Selatan,Dapat membuat konten estetika untuk klinik kecantikan
Digital Marketing Specialist ( E-commerce ),Sandangmas,Digital Marketing,Jakarta Utara,"E-commerce, Google Ads Specialist"
Marketing Specialist,Bright Mandarin,Social Media Marketing,Jakarta Utara,"Adobe, Sosial Media E-commerce, tiktok, instagram, dll, Sosial Media Creative, Sosial Media Admin, Sosial Media Facebook, Instagram, Twitter, Path, CANVA CAPCUT"
Project Manager Brand,PT LVI TECHNOLOGY NUSANTARA,Brand Marketing,Tangerang,"Lead a team work equally, Language Proficiency Fluent in both Bahasa Indonesia and English, with the ability to communicate effectively in both languages, both in written and spoken form."
Marketing Consultant Officer,Tamansari Skylounge Makassar,Marketing Consultan,Makassar,"Negosiasi dan Marketing, Komunikasi dan interaksi"
Staf Marketing,PT Jingsheng International Biotechnology,Marketing Executive,Mojokerto,"Bahasa Mandarin Lisan Secara Aktif, Memiliki pengalaman bagian pemasaran. 2. Memiliki kemampuan komunikasi yang baik. 3. Menguasai bahasa inggris amp bahasa mandarin lisan merupakan nilai tambah. 4. Menguasai Microsoft Office"
Content Creator Internship,PT. KREASI UNIVERSAL,Content Creator,Surabaya,"Editing Video dan Gambar, Video Audio Editing, Copywriting, Instagram, Content Creating Instagram, Tiktok, Capcut Mengedit Video Untuk Reels Instagram maupun untuk Video Tiktok, Talent Content, Shoot editing video, Content Creation TikTok Instagram"
Admin Online,"PT. Sarana Surya Indonesia, Surabaya",Admin Online,Surabaya,"Mampu mengelola marketplace dan paham sosial media, Mampu membuat konten untuk sosial media, Menguasai Adobe PhotoshopCorel Draw nilai plus, Mampu berinteraksi yang baik dengan customer"
Staff Digital Marketing,OPI REGENCY,Digital Marketing,Palembang,Photo And Video Editing
Digital Marketing,Berani Group,Digital Marketing,Sidoarjo,"Digital Marketing, Sosial Media, Ads Management, Ads Manager, Ads FB Ads dan IG Ads"
Marketing,Berani Group,Marketing Communication,Sidoarjo,"marketing, Sales Marketing, Sales Marketing Strategy"
Staff Marketing,PT Smile Lab Group Lamaison,Staff Marketing,Jakarta Selatan,"marketing, Sales Marketing, Komunikasi"
Content Creator,PT Nichieplast Prima Bahagia,Content Creator,Surabaya,Conten Creator
Staff Marketing,CV Bolekaka Binar Cemerlang,Staff Marketing,Jakarta Timur,Komunikasi dengan baik
Marketing,PT. Eka Nusa Global (ENG),Marketing Funding,Padang,"marketing, Branding, Communication"
Staff Marketing,Lunix PT,Staff Marketing,Surabaya,"presentasi, Sales Marketing, Product CampaignMarketing"
Affiliate & Partner Manager,PT Ezone Asia Indonesia,Pemasaran Digital,Jakarta Pusat,KOL Influencer Networking
Content Creator,CV Mega Mitra Sentosa,Content Creator,Bandung Kota,"Bisa aktif di sosial media dan mengerti dengan konten yang lagi trending - Bisa berkomunikasi dengan baik - Dapat mempromosikan atau review produk dengan baik - Kreatif membuat konten tiktok dan IG - Bisa live dan percaya diri untuk berbicara depan, Bersedia menghasilkan ide-ide kreatif dan membuat konten berbentuk poster ataupun video - Menguasai corel drawAdobe Ilustrator, Adobe premier, Canva, Editing video (misalnya dengan Adobe Premiere, CapCut, atau aplikasi sejenis), Kemampuan analisis data untuk mengukur performa konten dan engagement"
Marketing Project,CV RAJAWALI PUTRA PRATAMAA,Project Marketing,Mojokerto,"marketing, Office MicroSoft Office MS.Word, MS.Excel, MS.PowerPoint,, Pemasaran media sosial, Pemasaran Digital, Pemasaran, negosiasi, Pemasaran dan Penjualan, B2B and B2C, Pemasaran Marketing"
Marketing,CV RAJAWALI PUTRA PRATAMAA,Marketing Communication,Mojokerto,"marketing, Office MicroSoft Office MS.Word, MS.Excel, MS.PowerPoint,, Pemasaran Digital, Pemasaran, negosiasi, Pemasaran dan Penjualan, Pemasaran produk baik secara fisik maupun melalui digital marketing fb ads dan website bloging"
Marketing Officer,PT. Packindo Seal,Marketing Officer,Jakarta Utara,"Komunikasi dan interaksi, Â membangun komunikasi yang baik dengan lawan bicara."
Social Media Specialis,ERLAZET CHARITY,Social Media Specialist,Jakarta Timur,"Digital Marketing, Copywriting, Digital Marketing Instagram, TikTok, WhatsApp, dll."
Marketing Staff,PT. SEMESTA MULTI SEKURINDO ( KEYGUARDS SECURITY ),Staff Marketing,Bandung Kota,Komunikasi
Staff Marketing,CV. MITRA DUNIA PALLETINDO,Staff Marketing,Bogor,"Negoisasi, Pemasaran dan Penjualan, Komunikasi"
Social Media Specialist,Rizz Cellular,Social Media Specialist,Medan,"Social Media Advertising, Social media digital marketing, Meta Ads"
SPG ( Sales Promotion Girl ),PT Integritas Cipta sentosa,SPG Event,Remote,SPG Event
SPG ( Sales Promotion Girl ),PT. ADHITAMA MITRA NUSANTARA,SPG Event,Banjarmasin,"Public Speaking., Komunikasi yang bagus, Product Knowladge, Kemampuan menjual dan membujuk konsumen."
Penulis Artikel / Cerita,PT CENTRUM BAZAAR NUSANTARA,Content Writer,Remote,"Menulis artikel atau naskah berita, Riset dan analisis"
Marketing Manager,PT. INDOGC CERAMIC INTERNATIONAL,Manager Marketing,Jakarta Pusat,"Marketing development, Market Analisis, Market Planning."
Social Media Manager,PT Digital Marketing Bali,Social Media Manager,Remote,"English, can be creative design"
Social Media Assistant/ Coordinator,PT Digital Marketing Bali,Social Media Specialist,Remote,"Social Media, Internet, Willingness and ability to work as an individual and as a part of team"
Digital Marketing Strategist,King Club,Digital Marketing,Kabupaten Tangerang,"Digital Marketing dan SEO Saya berpengalaman dalam strategi digital marketing, termasuk menggunakan Google Ads, Meta Ads, dan Google Analytics. Saya juga terampil dalam melakukan riset kata kunci, mengoptimalkan on-page dan off-page SEO, serta mening"
Marketing Freight Forwarding,PT. Korin Buana Antarnusa,Marketing Executive,Surabaya,"marketing, English, Bahasa Bahasa Indonesia, Inggris, Mandarin, Mandarin Basic, Export Import - Freight forwarding - Good Communication Skills - Problem solver - Ms. Office - Teamwork and Interpersonal Skills"
Marketing Consultant,MR Printing and Packaging,Marketing Consultan,Jakarta Barat,"marketing, Problem Solving, Presentasi dan Komunikasi, Market Analisis, Negosiasi dan komunikasi"
Magang Digital Marketing,PT. Mongol Balindo Valas,Content Creator,Denpasar,"Kreatifitas, Content Writing Copywriting â Kemampuan menulis konten menarik untuk website, media sosial, atau iklan."
Digital Marketing (SEO Specialist ),PT. Mongol Balindo Valas,SEO Specialist,Remote,manajemen dan marketing yang baik
Area Sales Promotion Supervisor,Kroopook Rasa Nusantara,Sales Area,Jakarta Barat,Microsoft Office
Staf Marketing,PT. Cahaya Bumi Usaha,Staff Marketing,Jakarta Utara,"Microsoft Office, Digital Marketing"
Digital Marketing,PT HAICHUAN HEAVY INDUSTRY,Digital Marketing,Jakarta Utara,"Adobe Photoshop, Illustration, Premiere, After Effect, Ms Office Word, Excel, PPT, Videography, Capcut"
Digital Marketing Specialist,PT.Collaboration Rahayu Bestari,Digital Marketing,Bogor,"Design Grafis, B -Jawab pertanyaan amp, bantu closing order selama live dan via chat marketplace -Setting dan monitor iklan di ShopeeTokopedia Ads -Follow up customer via telepon re"
Staff Content Creator,Central Game Store,Content Creator,Banyumas,"Media Sosial, Media Sosial Experiences"
Head Marketing,Yayasan Al-Bahjah Bogor,Head of Marketing,Bogor,"Communication Team Leadership, Market Analisis, Social Media Advertising, Leadership and Interpersonal Skills., brand campaign management, Bussines Development, Ads Management, Probem Solving"
Digital Marketing Strategist,Metamorphosys,Digital Marketing,Tangerang,"Copy Writing, Content creation, Ads Facebook, Instagram, Google"
Social Media Officer (Paid Internship),Metamorphosys,Social Media Specialist,Tangerang,"Copy Writing, Content creation"
Content Creator,PT. Cisitu Indah Lestari,Content Creator,Bandung Kota,"Adobe Premiere, Capcut, Content, Adobe Illustrator, Photshop, Indesign, Premiere Pro, CapCut, Branding activity, launching, exhibition"
Admin Social Media,Mitra Visual Group,Admin Social Media,Surabaya,"Editing Video dan Gambar, content social media"
Marketing,PT. Garam Nusantara Lestari,Marketing Executive,Cirebon,"marketing, Komunikasi"
Marketing Supervisor,PT. Madusari Nusaperdana,Marketing Supervisor,Jakarta Pusat,"Communication, Negotiation, Budgeting & ROI Analysis, Trade Marketing Strategy"
Marketing Officer,PT Prima Auto Rental,Marketing Officer,Palembang,"marketing, Communication Skill, Target Oriented, Inisiatif yang baik"
Marketing Executive,Asia Coach,Marketing Executive,Jakarta Timur,"marketing, Sales Marketing, Sales Marketing Strategy, Sales, Penjualan dan pemasaran"
Marketing,PT. Sentra Prima Utama Expertindo,Staff Marketing,Surabaya,"marketing, Bisa berkomunikasi dengan baik, bisa menjual produk, bisa mencapai target penjulan"
Sosial Media Marketing,Company Confidential,Social Media Marketing,Jakarta Selatan,"Canva, Capcut, Google analytic, Meta Ads Manager Facebook Instagram"
Sales Marketing,PT. Sanjaya Food,Sales Marketing,Tangerang Selatan,Memiliki Kemampuan Komunikasi dengan baik dan benar
Marketing,PT. Trijaya Sportech ( iReborn Fitness ),Marketing Communication,Bandung Kota,"Public Speaking., Selling Marketing"
Social Media Manager,HOLYBABY HEALTH,Social Media Manager,Jakarta Pusat,"content social media, Capcut"
Social Media Specialist,Vitacare,Social Media Specialist,Jakarta Selatan,"marketing, Social Media, Digital Marketing, Brand Activation, Social Media Managament"
Staf Marketing,HNN Tour & Travel,Staff Marketing,Surabaya,"Sales Marketing Strategy, Sales, Marketing and sales., Komunikasi dan negosiasi dengan baik."
Marketing,Yamas Motor,Staff Marketing,Tangerang Selatan,"marketing, Digital Marketing, Digital Marketing Admin Ecommerce"
Marketing,El Berkat,Staff Marketing,Gresik,"Pemasaran, Komunikasi dan negosiasi dengan baik."
Marketing Assistant,PT IURIS INTERNATIONAL INDONESIA,Brand Marketing,Remote,"Marketing development, Communicating"
Content Producer,PT ANS INTERNATIONAL MEDIA INDONESIA,Content Producer,Jakarta Selatan,Conten Creator
Content Creator,PT. Oranye Kafah Tahta Abadi,Content Creator,Tangerang Selatan,"Kemampuan mengubah ide kompleks menjadi konten yang mudah dipahami oleh audiens., Kreatif dalam melakukan Edit Photo amp, Canva Photoshop 2. Software Editing. Premiere After Effect, Capcut, Filmora, 3. Adobe illustrator atau Vector 4. Paham Software 3d."
Social Media Officer,PT Aditya Mandiri Sejahtera,Social Media Specialist,Depok,"Social Media, Social media facebook, instagram, Digital Marketing, Social Media Corporate, Social Media facebook, twitter, tumblr, instagram, line, whatsapp dan Internet, Marketing development, Social Media Advertising"
Affiliate Specialist,MedioHome,KOL Specialist,Jakarta Barat,"Affiliate, Affiliate Marketing SocMed"
Content Creator,Fisura Scarf,Content Creator,Tangerang,"Editing, Capcut, Conten Creation, Komunikasi"
Staff Marketing,Beyond Lights,Staff Marketing,Bogor,"Digital Ads, Content creation"
Marketing Executive,PT Trimasjaya,Marketing Executive,Surabaya,"Networking, Negosiasi, Komunikatif, Gambar kerja"
Marketing,PT Trimasjaya,Marketing Executive,Jakarta Pusat,"Marketing Strategy, Komunikatif"
Marketing,CIKARANG ACADEMY INDONESIA SENDING ORGANIZATION,Marketing Executive,Bekasi,"Menguasai Microsoft office, Menguasai Bahasa Jepang Lebih diutamakan"
Content Writer,PT. Loker Asli Indonesia,Content Writer,Kota Yogyakarta,Pengalaman di bidang Content Writing dibuktikan dengan melampirkan portfolio. 2. Familiar dengan konsep Wordpress. 3. Update dengan isu terkini. 4. Familiar dengan AI.
Content Creator,PT Yade Automotive Trading,Content Creator,Tangerang Selatan,"Editing Video dan Gambar, Public Speaking., Kreatif dan inovatif, Konten Kreator, passion di bidang konten digital, marketing, dan branding."
Marketing Staff,PT RICK AUTO,Staff Marketing,Jakarta Utara,"Office Ms. Word, Ms. Excel, Ms. Powerpoint, Komunikasi dan negosiasi dengan baik., Analisi Data"
Online Marketing Specialist,Liferin Healthy Foods,Marketing Online,Sleman,"SEO, SEM,, Digital Marketing"
Digital Marketing,Sumber Agung Ponorogo,Digital Marketing,Ponorogo,"Video Editing, Corel dan Photoshop., Media Sosial, Membuat konten, Marketplace E-commerce"
Junior Creative,PT Raga Karya Diwangsa,Content Marketing,Tangerang Selatan,"Desain Adobe Photoshop, Adobe Illustrator, Desain Grafis, Canva, Bahasa Indonesia, Bahasa Inggris, Komunikasi dan interaksi, Conten Creator, InDesign"
Sales Marketing,RUGONAL,Marketing Communication,Jakarta Utara,Komunikasi interpersonal dan presentasi yang kuat. - Analisis pasar dan strategi pemasaran. - Negosiasi dan closing deal. - Management waktu dan organisasi. - Memiliki kemampuan komunikasi dan negosiasi yang baik.
Content Creator,PT INTI SEMESTA HARMONI,Content Creator,Jakarta Timur,"Talent, Conten creating, Edit foto dan video, Host live streaming Shopee TikTok"
Social Media Content Creator,PT Kamar Orang Semua,Social Media Specialist,Kabupaten Tangerang,"Video Editing, Copy Writing, Kreatif dan inovatif, Fotografer, Edit foto Adobe Photoshop"
Staff Marketing,PT. HEKSA JAYA SUKSES ABADI,Marketing Executive,Jakarta Utara,Memiliki kemampuan komunikasi yang baik - Menguasai Ms. Office - Mampu menjalin hubungan baik dengan siapapun - Memiliki pengetahuan tentang karakteristik konsumen agar mampu melakukan pendekatan
KOL Partnership Specialist,PT WIDE SUCCESS INDONESIA (Pusat),KOL Specialist,Tangerang,"Communication, Negotiable Skills, Relationship Building"
Content Creator,PT. Amanah Seruan Alam,Content Creator,Bekasi,"Mahir menggunakan CapCut Memiliki pengalaman sebagai content creator, diutamakan di platform TikTok"
Staf Marketing,SALUT WIBAWA SAKTI,Marketing Communication,Bekasi,Conten Creator Membuat konten sesuai tujuan perusahaan atau organisasi baik untuk tujuan promosi maupun reportasi.
Supervisor Marketing,CV MITRA JAYA GROUP,Marketing Supervisor,Depok,"Coaching Karyawan dan Leadership, Strategi penjualan, Mampu membuat strategi penjualan serta mengoptimalkan angka penjualan di Cabang Mampu berkomunikasi dengan baik Selling skills"
Conten Creator,PT. CHAN BROTHERS TRAVEL INDONESIA,Content Creator,Jakarta Pusat,menguasai cara bikin edit konten dan bikin konten baik di IG maupun di Tiktok
Marketing Executive,Biro Psikologi Psikodinamika,Marketing Executive,Tangerang Selatan,"Bisa membuat rab, Bisa Microsoft office, Excel, Word, PPT, Canva, AI, Bisa membuat proposal penawaran, Bisa paparanpresentasi"
Digital Marketing,Bazic Products Indonesia,Digital Marketing,Jakarta Utara,Desain GrafIs Mendesain Konten
Marketing Executive,Kairos Digital Printing,Marketing Executive,Jakarta Barat,Skill Komunikasi
Sales Executive,Natural Digital Printing,Sales Executive,Surakarta / Solo,Komunikasi yang lancar
Staf Hubungan Industri,SMK PRAKARYA INTERNASIONAL,Public Relation / Humas,Bandung Kota,Menguasai Microsoft Office 2. Memahami IT 3. Memahami kegiatan hubungan industri
Marketing,CV MITRA JAYA GROUP,Marketing Executive,Jakarta Selatan,Komunikatif Selling skills
Marketing Executive,Natural Digital Printing,Marketing Executive,Surakarta / Solo,Komunikatif
Social Media Specialist,PT. Citra Megah Kreasindo,Social Media Specialist,Jakarta Utara,Terampil dalam pengambilan dan pengeditan fotovideo produk - Terbiasa menggunakan Microsoft Word dan Excel
Social Media Creative Staff,Kaospolosjaya,Social Media Specialist,Surabaya,"Memiliki kemampuan public speaking yang baik dan kreatif, Memiliki kemampuan dasar video editing seperti capcut dan canva, Memiliki kemampuan copywriting untuk membuat caption atau konsep yang menarik"
Staff Marketing,PT. Tele Globe Global,Marketing Communication,Bekasi,Menguasai bahasa inggris 2. Menguasai sistem marketing internet
Staff Marketing,PT. Sebastian Jaya Metal,Marketing / Pemasaran,Bekasi,"Mampu menyusun perencanaan strategi dan laporan bulanan maupun tahunan 2. Mampu melaksanakan program promosi dan branding 3. Memiliki kemampuan komunikasi, negosiasi dan persentasi yang baik 4. Memiliki kemampuan mengoperasikan Ms. Office Word, E"
Staff Management Trainee,PT. JAYAMANDIRI GEMASEJATI (JG MOTOR GROUP),Management Trainee,Jawa Barat,Memahami tugas dan tanggung jawab sebagai management trainee - Minat terhadap bidang pemasaran khususnya bidang otomotif
Digital Media Marketing,Els Coorp,Social Media Specialist,Depok,"Mampu melakukan maintenance website dan update konten secara berkala. - Menguasai sosial media Instagram, TikTok, dll. dan platform marketplace Shopee, Tokopedia, dll.. - Terampil dalam pembuatan konten visual gambarvideo menjadi nilai tamba"
Staff Marketing,PT. JASATAMA PRIMA LESTARI JAYA,Marketing / Pemasaran,Kota Yogyakarta,Bisa berkomunikasi dg baik
Marketing Executive,PT ZHULIAN AZANA NETWORK,Marketing Executive,Medan,"Strong written and verbal communication skills, with the ability to create compelling and engaging content, Proficiency in using marketing tools and platforms, such as social media management, email marketing, and analytics software, Knowledge of"
Staff Marketing,Tamanna Coffee & Eatery,Staff Marketing,Jakarta Utara,"Kreatif, komunikatif, dan percaya diri saat berhadapan dengan klien - Memiliki kemampuan negosiasi dan interpersonal yang kuat - Paham dasar digital marketing seperti ads, SEO, dan konten media sosial nilai plus - Siap bekerja dengan target dan w"
Content & Partnership Manager,PT.Collaboration Rahayu Bestari,Content Manager,Bogor,"Riset tren dan ide konten kreatif artikel, video, sosial media, dll., Copywriting dan storytelling yang engaging, Familiar dengan berbagai platform media sosial dan digital marketing, Menguasai tools seperti Google Analytics, Meta Business Su"
Social Media Officer,ACOM Digital Kreasi,Social Media Specialist,Tangerang Selatan,"Social Media, Content Creator, Kreatif dalam copywriting dan memahami platform media sosial dan fitur-fiturnya - Menguasai berbagai media sosial Instagram, TikTok, Facebook, Twitter, YouTube, dll. - Memiliki pengetahuan yang baik tentang proses bisnis di bidang media sosial - M"
Staff Marketing,PT. Bukwang Textile Indonesia,Admin Marketing,Karawang,"Communication, Microsoft (MS) Excel, Microsoft (MS) Powerpoint, Microsoft (MS) Word"
Marketing Project,PT. Sindotech Caturtama,Project Marketing,Samarinda,Komunikatif dan mampu menjalin hubungan yang baik dengan pelanggan Memiliki kemampuan presentasi dan negosiasi yang kuat
Content Creator,Els Coorp,Content Creator,Depok,"Skill bahasa indonesia, canva dan capcut, paham ilmu photoshop"
Staff Tender,Biro Psikologi Psikodinamika,Brand Marketing,Tangerang,"Memiliki kemampuan design dan editing yang baik website, Photoshop, coreldraw, premier dan membuat content creatif, Familiar dengan LPSE, E-Katalog dan portal lelang lainnya, Interpersonal dan communication skill yang baik, menguasai Bahasa Ing"
Staff Marketing,PT. DIVA MITRA SINERGI,Staff Marketing,Jakarta Utara,"Negosiasi, Marketing and sales., Komunikasi"
Marketing Lab,PT. Prasida Arta Begja Kamayangan,Medical Representative,Bandung Kota,Menguasai sistem tender Lab. Uji dan Lab. Lingkungan - Bahasa Inggris Aktif
Digital Marketing,PT. TIGAER INDONESIA JAYA,Digital Marketing,Jakarta Timur,"marketing, Social Media Advertising, Marketing E-commerce"
Marketing Manager,PT Tamasya Hati Global,Sales Marketing Manager,Depok,"Komunikasi dan interaksi, Managerial, Marketing Strategi Marketing, Promosi, Internet Marketing, Analisis Pasar, Negosiasi, 4P, CGI"
Lead Marketing,Poinball Billiard,Manager Marketing,Jakarta Utara,"marketing, Sales Marketing, Team Management, Customer Data Analis CDA, Report Analytics"
KOL Specialist Internship,Strategis Digital,KOL Specialist,Jakarta Utara,"Microsoft Office, KOL"
Conten Creator,Mikiee Miniee Fashion Store,Content Creator,Medan,"Social Media, Canva, Copywriting, Copywriting Content Writing, Editing Video with CapCut, inShot"
Sosial Media Specialist,PT Cipta Arta Anugrah,Social Media Specialist,Jakarta Selatan,"Conten Creator, Sosial Media Adverthising"
Digital Marketing,PT Persona Prima Utama,Digital Marketing,Jakarta Utara,Kemampuan SEO Google ads
Content Creator,Hijab Hayuri,Content Creator,Bekasi,"Analisa Data, Content creation, Content Planner, Copy Writeing, Insight atau Analisa Sosial Media, Content Creator Content Planner"
Customer Engagement & Lead Development Officer,Jatiluhur Glass,Marketing Communication,Jakarta Utara,"Menguasai Microsoft Office Excel, Word, dll 2.Dapat berkomunikasi yang baik kepada pelanggan 3.dapat bernegosiasi yang efektif 4.Pengetahuan produk yang mendalam 5.kemampuan memahami kebutuhan pelanggan 6.Keterampilan presentasi yang baik"
Marketing,PT Gemilang Maju Berjaya,Marketing Communication,Surabaya,Public Speaking - Microsoft Office - Sosisal Media - Statistik
"Digital Marketing, Branding & Digital Specialist",PT Gemilang Maju Berjaya,Digital Marketing,Surabaya,"PT Gemilang Maju Berjaya yang bergerak di bidang pengajaran bahasa Mandarin membutuhkan tenaga digital marketing. Sesuai dengan visi misi perusahaan kami, maka calon pelamar kami harapkan mempunyai semangat modern, inovatif dan siap dibentuk. Unit pr"
Staff Marketing,SMK PRAKARYA INTERNASIONAL,Marketing / Pemasaran,Bandung Kota,"Menguasai MS office, Excel - Memahami Video Editing"
Content Creator,Tevis Foundation,Content Creator,Bandung Kota,"Bersedia menghasilkan ide-ide kreatif dan membuat konten berbentuk poster ataupun video - Menguasai corel drawAdobe Ilustrator, Adobe premier, Canva"
Meta Advertiser,Tevis Foundation,Digital Ads Specialist,Bandung Kota,Kemampuan mengelola dashboard META ads
Marketing Interior Design,PT. Vetira Pribadi Kreasi,Marketing Executive,Jakarta Barat,"Memahami dasar-dasar desain interior dan material. Mampu berkomunikasi dengan baik secara internal maupun eksternal. Menguasai Microsoft Word amp, Excel. Fasih berbahasa Inggris menjadi nilai tambah"
Content Creator,IGB Media,Content Creator,Surabaya,Memiliki kemampuan managemen content creator yang baik 2. Menguasai basic Software Desain Photosho amp Illustrator 3. Memiliki kemampuan tambahan di bidang editing photo dan photography 4. Memiliki kemampuan tambahan di bidang copywriting 5. M
Marketing Komunikasi,KOPERASI NUSA RAYA CIPTA,Marketing Communication,Jakarta Utara,"Kemampuan untuk bekerjasama sebagai tim - Memiliki pengetahuan yang baik tentang teknis pemasaran - Menguasai Microsoft Office word, excel, power point, dll - Mempunyai kemampuan analisa dan komunikasi yang baik"
Marketing,CV MITRA JAYA GROUP,Marketing Executive,Tangerang,Memiliki kemampuan komunikasi yang baik Selling skills
Staff Marketing,PT. EKNO YUAG INDONESIA,Marketing Communication,Cikarang,MS office Negosiasi dan komunikasi yang baik
Content Creator,PT. SUKSES KOMPUTINDO ABADI,Content Creator,Bekasi,"Memiliki keterampilan dalam komunikasi., Memiliki kemampuan creative thinking., Mampu melakukan riset konten dan tren., Memiliki pemahaman dasar mengenai tools dalam social media analytics., Memiliki pemahaman mengenai Social Media Marketing me"
Content Creator,PT.Collaboration Rahayu Bestari,Content Creator,Bogor,"Menguasai Aplikasi edit video seperti capcut, atau software editing lainnya. Memahami tren sosial media terkini, terutama instagram, reels dan tiktok menguasai dasar dasar manajemen live streaming di social media dan platfrom e-commerce komunikatif d"
Content Creator,PT KARYA DELITAMA,Content Creator,Kabupaten Tangerang,"Bisa edit video pakai CapCut, Adobe Premiere, atau aplikasi sejenis. - Terbiasa merekam video pakai kamera DSLR, mirrorless, atau HP. - Bisa desain gambar pakai Photoshop, CorelDRAW, atau aplikasi desain lainnya. - Mengetahui tren dan cara kerja Ti"
Digital Marketing,FC Computer PIK,Digital Marketing,Jakarta Utara,"Mampu menjalankan iklan sesuai dengan budget dan target yang sesuai - Mengerti sosial media Ig, FB, Tiktok, dan lain-lain - Mampu Menjalankan strategi marketing yang handal - Komunikasi yang bagus dan profesional"
Content Creator,cctvdistro,Content Creator,Surabaya,"Menguasai aplikasi editing video Capcut, Canva dan AI 2. Memiliki kemampuan copywriting yang baik"
Staff Magang Pemasaran,PT Persona Prima Utama,Marketing Communication,Jakarta Selatan,Menguasai Microsoft Office - Keterampilan komunikasi. - Keterampilan presentasi. - Keterampilan negosiasi. - Kemampuan penjualan.
Digital Marketing,PT. Mitra Suksestama Indonesia,Digital Marketing,Jakarta Barat,"Digital Marketing, Komunikasi Pemasaran, Pengelolaan Media Sosial Sebagai Social Media Specialist, saya memiliki keahlian dalam menciptakan, merencanakan, dan menjadwalkan konten untuk platform media sosial."
Staff Pemasaran (Marketing),PT DIAMOND MACHINERY INDONESIA,Marketing Executive,Jakarta Barat,Mampu memasarakan produk dan jasa agar di kenal oleh calon konsumen Kemampuan berkomunikasi secara efektif Memahami Sosial Media Dapat mengolah gambar
Marketing Executive,PT. Zhafirah Mitra Madina,Marketing Executive,Blora,"marketing, Marketing communication, Negosiasi, Sales Marketing, Sales Marketing Strategy, Sales, Marketing Digital"
Creative Creator,PT. DRW CORPORA INDONESIA,Content Creator,Kota Yogyakarta,"Content, Branding Awareness., Branding activity, launching, exhibition"
Marketing Executive,PT. Zhafirah Mitra Madina,Marketing Executive,Tegal,"marketing, Communication, Negosiasi, Sales Marketing, Sales Marketing Strategy, Sales"
Marketing Manager,Bali Living Homeware,Sales Marketing Manager,Badung,"Digital Marketing, Brand Management, Paid Ads, Komunikasi dan interaksi, Manager Marketing, Social Media Content Strategy, Marketing Analytics, Strong communication and leadership skills, Campaign Execution, Content Planning Content Creating"
Online Sales Officer (for Memorial Park),Insira Memorial Park,Sales Online,Kota Yogyakarta,"Presentasi dan Komunikasi, Komunikasi dengan customer, CRM, Selling and Representing skill, Live Chat agent"
Marketing Executive,PT. Zhafirah Mitra Madina,Marketing Executive,Surakarta / Solo,"marketing, Communication, Sales Marketing, Sales Marketing Strategy, Sales, Relation management"
Direktur Pemasaran,CV TUNAS ABADI,Head of Marketing,Bandung Kota,"Analisa dan pengembangan brand awareness, Pemasaran dan Penjualan, Komunikasi negosiasi dan membangun relasi"
Direktur Pemasaran,CV TUNAS ABADI,Head of Marketing,Jakarta Pusat,"Analisa dan pengembangan brand awareness, Pemasaran dan Penjualan, Komunikasi negosiasi dan membangun relasi"
Staff Marketing,Juslyne Florist,Staff Marketing,Jakarta Barat,"M. office M. Word, M. excel dan power point"
Konten Kreator,AMIGOS GROUP,Content Creator,Banyumas,Video Editing
Digital Marketing (Content Creator),PT Bangun Sarana Karya,Content Creator,Surabaya,"marketing, Copywriter, Canva, Desain Adobe Photoshop, Adobe Ilustrator, SketchUp"
Social Media Specialist,PT Kita Bersatu Jadi Rejeki,Social Media Specialist,Surabaya,"AutoCAD, Copywriter, Canva, Desain Adobe Photoshop, Adobe Ilustrator, SketchUp, Capcut"
Social Media Specialist,Aqiqah Express,Social Media Specialist,Tangerang Selatan,"Public Speaking., Negoisasi, Komunikatif dan kreatif"
Marketing Digital,Oemah Kincir,Digital Marketing,Jakarta Selatan,"marketing, Digital Marketing"
Marketing Koordinator,PT DARLINGS JAYA INDONESIA,Marketing Coordinator,Jakarta Selatan,"Menguasai teknik pemasaran B2B Business to Business. - Terbiasa mengelola dan mengoptimasi Social Media Instagram, Tiktok, amp, Meta - Memiliki kemampuan menggunakan komputer amp, aplikasi word amp, excel dengan baik."
Content Creator,Lalulaku,Content Creator,Jakarta Barat,"Capcut, Adobe"
Trade Marketing Executive,PT Heli Pet Solutions,Pemasaran Perdagangan,Jakarta Utara,"Microsof Office Ms. Word, Ms. Excel, Ms. Power Point., Monitoring dan Evaluasi, Trade Marketing, Promotion Activations"
Marketing Communication Specialist,Kahe Rent Car,Marketing Communication,Indramayu,Komunikasi dan interaksi
Content Social Media Executive,PT Heli Pet Solutions,Social Media Specialist,Jakarta Utara,"Digital Content Management, Content Control Database Komunitas, Marketplace Online, KOL Influencer Marketing, Affiliate Marketing Shopee Affiliate, Tokopedia Affiliate, dll."
Digital Marketing (Content Creator),PT Aneka Kelola Unggul,Digital Marketing,Jakarta Barat,"E-commerce, Facebook Ads., Editing foto, Microsoft, website, Tiktok, Linkedin"
